Timestamp,Water in ,Water out,Solid in,Solid out,,Translated ,,Water in ,Water out,Solid in,Solid out
08/30/2020 16:26,,,C,,,,08/30/2020 16:26,,,1,
08/30/2020 16:31,,C,,1,,,08/30/2020 16:31,,1,,1
08/30/2020 16:42,1,,,,,,08/30/2020 16:42,1,,,
08/30/2020 18:45,,1,,,,,08/30/2020 18:45,,1,,
08/30/2020 18:58,1,,1,,,,08/30/2020 18:58,1,,1,
08/30/2020 19:21,1,,,,,,08/30/2020 19:21,1,,,
08/30/2020 19:51,,Xx,,,,,08/30/2020 19:51,,-1,,
08/30/2020 19:58,,C,,C,,,08/30/2020 19:58,,1,,1
08/30/2020 21:50,,X,,,,,08/30/2020 21:50,,1,,
08/31/2020 03:43,,x,,x,,,08/31/2020 03:43,,1,,1
08/31/2020 05:45,,x,,x,,,08/31/2020 05:45,,1,,1
08/31/2020 06:05,,,,xx,,,08/31/2020 06:05,,,,-1
08/31/2020 07:10,,X,,,,,08/31/2020 07:10,,1,,
08/31/2020 08:19,,,X,,,,08/31/2020 08:19,,,1,
08/31/2020 09:01,,W,,,,,08/31/2020 09:01,,1,,
08/31/2020 09:14,X,,,,,,08/31/2020 09:14,1,,,
08/31/2020 11:04,,Q,,,,,08/31/2020 11:04,,1,,
08/31/2020 12:30,,,W,,,,08/31/2020 12:30,,,1,
08/31/2020 12:37,,X,,1,,,08/31/2020 12:37,,1,,1
08/31/2020 14:29,1,,,,,,08/31/2020 14:29,1,,,
08/31/2020 14:48,,1,,,,,08/31/2020 14:48,,1,,
08/31/2020 15:32,1,,,,,,08/31/2020 15:32,1,,,
08/31/2020 15:47,1,,,,,,08/31/2020 15:47,1,,,
08/31/2020 16:10,,1,,,,,08/31/2020 16:10,,1,,
08/31/2020 16:16,1,,,,,,08/31/2020 16:16,1,,,
08/31/2020 17:16,,X,,X,,,08/31/2020 17:16,,1,,1
08/31/2020 17:22,X,,,,,,08/31/2020 17:22,1,,,
08/31/2020 18:30,,X,,C,,,08/31/2020 18:30,,1,,1
08/31/2020 19:07,,X,,,,,08/31/2020 19:07,,1,,
08/31/2020 20:01,,1,,,,,08/31/2020 20:01,,1,,
08/31/2020 20:05,,,1,,,,08/31/2020 20:05,,,1,
08/31/2020 20:34,x,,,,,,08/31/2020 20:34,1,,,
08/31/2020 21:50,,c,,,,,08/31/2020 21:50,,1,,
09/01/2020 02:00,,1,,1,,,09/01/2020 02:00,,1,,1
09/01/2020 02:10,1,,,,,,09/01/2020 02:10,1,,,
09/01/2020 05:35,,1,,1,,,09/01/2020 05:35,,1,,1
09/01/2020 08:10,,,X,,,,09/01/2020 08:10,,,1,
09/01/2020 08:15,, X,,,,,09/01/2020 08:15,,1,,
09/01/2020 09:40,X,,,,,,09/01/2020 09:40,1,,,
09/01/2020 11:22,,X,,,,,09/01/2020 11:22,,1,,
09/01/2020 12:58,,X,,X,,,09/01/2020 12:58,,1,,1
09/01/2020 15:40,,x,,,,,09/01/2020 15:40,,1,,
09/01/2020 15:50,x,,,,,,09/01/2020 15:50,1,,,
09/01/2020 16:03,,,x,,,,09/01/2020 16:03,,,1,
09/01/2020 17:03,x,,,,,,09/01/2020 17:03,1,,,
09/01/2020 17:18,x,,,,,,09/01/2020 17:18,1,,,
09/01/2020 17:50,,x,,x,,,09/01/2020 17:50,,1,,1
09/01/2020 19:03,,,x,,,,09/01/2020 19:03,,,1,
09/01/2020 19:36,x,,,,,,09/01/2020 19:36,1,,,
09/01/2020 19:25,,c,,,,,09/01/2020 19:25,,1,,
09/01/2020 21:35,,c,,c,,,09/01/2020 21:35,,1,,1
09/02/2020 05:25,,x,,x,,,09/02/2020 05:25,,1,,1
09/02/2020 05:40,x,,,,,,09/02/2020 05:40,1,,,
09/02/2020 07:30,,X,,,,,09/02/2020 07:30,,1,,
09/02/2020 07:36,X,,,,,,09/02/2020 07:36,1,,,
09/02/2020 08:00,,,X,,,,09/02/2020 08:00,,,1,
09/02/2020 08:53,X,,,,,,09/02/2020 08:53,1,,,
09/02/2020 09:50,,X,,X,,,09/02/2020 09:50,,1,,1
09/02/2020 11:55,,X,,C,,,09/02/2020 11:55,,1,,1
09/02/2020 12:02,,,X,,,,09/02/2020 12:02,,,1,
09/02/2020 12:31,1,,,,,,09/02/2020 12:31,1,,,
09/02/2020 14:32,,1,,,,,09/02/2020 14:32,,1,,
09/02/2020 14:54,1,,,,,,09/02/2020 14:54,1,,,
09/02/2020 16:20,,,x,,,,09/02/2020 16:20,,,1,
09/02/2020 17:05,,x,,,,,09/02/2020 17:05,,1,,
09/02/2020 17:14,x,,,,,,09/02/2020 17:14,1,,,
09/02/2020 18:39,x,,,,,,09/02/2020 18:39,1,,,
09/02/2020 19:00,,,x,,,,09/02/2020 19:00,,,1,
09/02/2020 19:34,,x,,,,,09/02/2020 19:34,,1,,
09/02/2020 21:00,X,,,,,,09/02/2020 21:00,1,,,
09/02/2020 21:06,,X,,1,,,09/02/2020 21:06,,1,,1
09/02/2020 21:18,1,,,,,,09/02/2020 21:18,1,,,
09/03/2020 05:31,,x,,x,,,09/03/2020 05:31,,1,,1
09/03/2020 07:27,,X,,,,,09/03/2020 07:27,,1,,
